resource_id,skill_id,resource_type,resource_title,description,difficulty,estimated_time,url,rating,popularity
1,1,book,Clean Code by Robert C. Martin,A resource covering clean code by robert c. martin,Beginner,26,https://www.oreilly.com/library/view/clean-code/9780136083238/,4.5,4145
2,1,video,freeCodeCamp Full Programming Bootcamp,A resource covering freecodecamp full programming bootcamp,Beginner,14,https://www.youtube.com/watch?v=zOjov-2OZ0E,3.5,3505
3,2,video,freeCodeCamp Full Programming Bootcamp,A resource covering freecodecamp full programming bootcamp,Intermediate,13,https://www.youtube.com/watch?v=zOjov-2OZ0E,3.9,4498
4,2,course,Coursera Algorithms Specialization (Stanford),A resource covering coursera algorithms specialization (stanford),Intermediate,25,https://www.coursera.org/specializations/algorithms,3.8,3662
5,3,article,GeeksforGeeks Programming Tutorials,A resource covering geeksforgeeks programming tutorials,Advanced,4,https://www.geeksforgeeks.org/,4.6,1313
6,3,course,MIT OpenCourseWare 6.001 Structure and Interpretation,A resource covering mit opencourseware 6.001 structure and interpretation,Advanced,32,https://ocw.mit.edu/courses/6-001-structure-and-interpretation-of-computer-programs-spring-2005/,4.5,3898
7,4,course,Coursera Algorithms Specialization (Stanford),A resource covering coursera algorithms specialization (stanford),Intermediate,29,https://www.coursera.org/specializations/algorithms,4.8,3696
8,4,book,Clean Code by Robert C. Martin,A resource covering clean code by robert c. martin,Intermediate,23,https://www.oreilly.com/library/view/clean-code/9780136083238/,3.6,2133
9,5,book,Clean Code by Robert C. Martin,A resource covering clean code by robert c. martin,Intermediate,34,https://www.oreilly.com/library/view/clean-code/9780136083238/,4.1,2035
10,5,video,CS50x Introduction to Computer Science (Harvard),A resource covering cs50x introduction to computer science (harvard),Intermediate,20,https://cs50.harvard.edu/x/,3.5,2281
11,5,course,MIT OpenCourseWare 6.001 Structure and Interpretation,A resource covering mit opencourseware 6.001 structure and interpretation,Intermediate,29,https://ocw.mit.edu/courses/6-001-structure-and-interpretation-of-computer-programs-spring-2005/,3.8,4280
12,6,book,Introduction to Algorithms (CLRS),A resource covering introduction to algorithms (clrs),Advanced,41,https://www.amazon.com/Introduction-Algorithms-CLRS/dp/0262046305,4.3,3979
13,6,course,Coursera Algorithms Specialization (Stanford),A resource covering coursera algorithms specialization (stanford),Advanced,34,https://www.coursera.org/specializations/algorithms,3.5,1969
14,6,article,GeeksforGeeks Programming Tutorials,A resource covering geeksforgeeks programming tutorials,Advanced,6,https://www.geeksforgeeks.org/,3.8,2259
15,7,course,Coursera Algorithms Specialization (Stanford),A resource covering coursera algorithms specialization (stanford),Advanced,31,https://www.coursera.org/specializations/algorithms,4.5,3613
16,7,article,GeeksforGeeks Programming Tutorials,A resource covering geeksforgeeks programming tutorials,Advanced,4,https://www.geeksforgeeks.org/,4.3,644
17,8,video,freeCodeCamp Full Programming Bootcamp,A resource covering freecodecamp full programming bootcamp,Intermediate,10,https://www.youtube.com/watch?v=zOjov-2OZ0E,3.8,2350
18,8,video,CS50x Introduction to Computer Science (Harvard),A resource covering cs50x introduction to computer science (harvard),Intermediate,25,https://cs50.harvard.edu/x/,4.4,1930
19,8,course,Coursera Algorithms Specialization (Stanford),A resource covering coursera algorithms specialization (stanford),Intermediate,36,https://www.coursera.org/specializations/algorithms,4.7,2235
20,9,book,The Pragmatic Programmer by Hunt & Thomas,A resource covering the pragmatic programmer by hunt & thomas,Beginner,23,https://www.oreilly.com/library/view/the-pragmatic-programmer/9780135956977/,3.5,2761
21,9,video,freeCodeCamp Full Programming Bootcamp,A resource covering freecodecamp full programming bootcamp,Beginner,13,https://www.youtube.com/watch?v=zOjov-2OZ0E,4.7,2629
22,10,book,Clean Code by Robert C. Martin,A resource covering clean code by robert c. martin,Beginner,37,https://www.oreilly.com/library/view/clean-code/9780136083238/,4.5,4434
23,10,video,freeCodeCamp Full Programming Bootcamp,A resource covering freecodecamp full programming bootcamp,Beginner,14,https://www.youtube.com/watch?v=zOjov-2OZ0E,4.0,670
24,11,article,GeeksforGeeks Programming Tutorials,A resource covering geeksforgeeks programming tutorials,Intermediate,6,https://www.geeksforgeeks.org/,3.7,1143
25,11,book,Clean Code by Robert C. Martin,A resource covering clean code by robert c. martin,Intermediate,35,https://www.oreilly.com/library/view/clean-code/9780136083238/,4.9,1245
26,11,book,Introduction to Algorithms (CLRS),A resource covering introduction to algorithms (clrs),Intermediate,29,https://www.amazon.com/Introduction-Algorithms-CLRS/dp/0262046305,4.0,1904
27,12,video,freeCodeCamp Full Programming Bootcamp,A resource covering freecodecamp full programming bootcamp,Intermediate,9,https://www.youtube.com/watch?v=zOjov-2OZ0E,3.6,3147
28,12,article,GeeksforGeeks Programming Tutorials,A resource covering geeksforgeeks programming tutorials,Intermediate,6,https://www.geeksforgeeks.org/,3.6,1261
29,13,book,The Pragmatic Programmer by Hunt & Thomas,A resource covering the pragmatic programmer by hunt & thomas,Intermediate,28,https://www.oreilly.com/library/view/the-pragmatic-programmer/9780135956977/,4.8,1762
30,13,book,Introduction to Algorithms (CLRS),A resource covering introduction to algorithms (clrs),Intermediate,49,https://www.amazon.com/Introduction-Algorithms-CLRS/dp/0262046305,4.4,536
31,14,course,MIT OpenCourseWare 6.001 Structure and Interpretation,A resource covering mit opencourseware 6.001 structure and interpretation,Advanced,48,https://ocw.mit.edu/courses/6-001-structure-and-interpretation-of-computer-programs-spring-2005/,4.7,3408
32,14,article,GeeksforGeeks Programming Tutorials,A resource covering geeksforgeeks programming tutorials,Advanced,6,https://www.geeksforgeeks.org/,4.6,3349
33,15,video,CS50x Introduction to Computer Science (Harvard),A resource covering cs50x introduction to computer science (harvard),Intermediate,24,https://cs50.harvard.edu/x/,4.3,2720
34,15,book,Clean Code by Robert C. Martin,A resource covering clean code by robert c. martin,Intermediate,23,https://www.oreilly.com/library/view/clean-code/9780136083238/,5.0,4455
35,16,book,The Pragmatic Programmer by Hunt & Thomas,A resource covering the pragmatic programmer by hunt & thomas,Advanced,31,https://www.oreilly.com/library/view/the-pragmatic-programmer/9780135956977/,4.1,3826
36,16,article,GeeksforGeeks Programming Tutorials,A resource covering geeksforgeeks programming tutorials,Advanced,5,https://www.geeksforgeeks.org/,4.3,3416
37,16,book,Introduction to Algorithms (CLRS),A resource covering introduction to algorithms (clrs),Advanced,36,https://www.amazon.com/Introduction-Algorithms-CLRS/dp/0262046305,4.7,520
38,17,book,Clean Code by Robert C. Martin,A resource covering clean code by robert c. martin,Advanced,34,https://www.oreilly.com/library/view/clean-code/9780136083238/,4.4,1704
39,17,video,freeCodeCamp Full Programming Bootcamp,A resource covering freecodecamp full programming bootcamp,Advanced,14,https://www.youtube.com/watch?v=zOjov-2OZ0E,4.8,3451
40,18,video,freeCodeCamp Full Programming Bootcamp,A resource covering freecodecamp full programming bootcamp,Intermediate,9,https://www.youtube.com/watch?v=zOjov-2OZ0E,4.4,3200
41,18,article,GeeksforGeeks Programming Tutorials,A resource covering geeksforgeeks programming tutorials,Intermediate,4,https://www.geeksforgeeks.org/,4.6,4794
42,19,course,Coursera Algorithms Specialization (Stanford),A resource covering coursera algorithms specialization (stanford),Advanced,22,https://www.coursera.org/specializations/algorithms,3.6,170
43,19,course,MIT OpenCourseWare 6.001 Structure and Interpretation,A resource covering mit opencourseware 6.001 structure and interpretation,Advanced,33,https://ocw.mit.edu/courses/6-001-structure-and-interpretation-of-computer-programs-spring-2005/,3.8,4726
44,19,video,freeCodeCamp Full Programming Bootcamp,A resource covering freecodecamp full programming bootcamp,Advanced,14,https://www.youtube.com/watch?v=zOjov-2OZ0E,3.9,3126
45,20,video,CS50x Introduction to Computer Science (Harvard),A resource covering cs50x introduction to computer science (harvard),Advanced,31,https://cs50.harvard.edu/x/,3.6,3917
46,20,book,Introduction to Algorithms (CLRS),A resource covering introduction to algorithms (clrs),Advanced,49,https://www.amazon.com/Introduction-Algorithms-CLRS/dp/0262046305,3.8,58
47,20,video,freeCodeCamp Full Programming Bootcamp,A resource covering freecodecamp full programming bootcamp,Advanced,15,https://www.youtube.com/watch?v=zOjov-2OZ0E,3.7,2891
48,21,book,The Pragmatic Programmer by Hunt & Thomas,A resource covering the pragmatic programmer by hunt & thomas,Advanced,18,https://www.oreilly.com/library/view/the-pragmatic-programmer/9780135956977/,3.9,2456
49,21,book,Clean Code by Robert C. Martin,A resource covering clean code by robert c. martin,Advanced,31,https://www.oreilly.com/library/view/clean-code/9780136083238/,4.5,3204
50,22,course,MIT OpenCourseWare 6.001 Structure and Interpretation,A resource covering mit opencourseware 6.001 structure and interpretation,Intermediate,50,https://ocw.mit.edu/courses/6-001-structure-and-interpretation-of-computer-programs-spring-2005/,4.0,3442
51,22,video,freeCodeCamp Full Programming Bootcamp,A resource covering freecodecamp full programming bootcamp,Intermediate,11,https://www.youtube.com/watch?v=zOjov-2OZ0E,4.1,4419
52,22,course,Coursera Algorithms Specialization (Stanford),A resource covering coursera algorithms specialization (stanford),Intermediate,30,https://www.coursera.org/specializations/algorithms,3.8,4483
53,23,article,GeeksforGeeks Programming Tutorials,A resource covering geeksforgeeks programming tutorials,Intermediate,4,https://www.geeksforgeeks.org/,3.9,4951
54,23,book,The Pragmatic Programmer by Hunt & Thomas,A resource covering the pragmatic programmer by hunt & thomas,Intermediate,26,https://www.oreilly.com/library/view/the-pragmatic-programmer/9780135956977/,4.9,1816
55,24,book,The Pragmatic Programmer by Hunt & Thomas,A resource covering the pragmatic programmer by hunt & thomas,Advanced,19,https://www.oreilly.com/library/view/the-pragmatic-programmer/9780135956977/,4.5,4009
56,24,video,CS50x Introduction to Computer Science (Harvard),A resource covering cs50x introduction to computer science (harvard),Advanced,28,https://cs50.harvard.edu/x/,4.4,1807
57,24,video,freeCodeCamp Full Programming Bootcamp,A resource covering freecodecamp full programming bootcamp,Advanced,11,https://www.youtube.com/watch?v=zOjov-2OZ0E,3.8,2245
58,25,book,The Pragmatic Programmer by Hunt & Thomas,A resource covering the pragmatic programmer by hunt & thomas,Intermediate,27,https://www.oreilly.com/library/view/the-pragmatic-programmer/9780135956977/,4.6,3580
59,25,video,CS50x Introduction to Computer Science (Harvard),A resource covering cs50x introduction to computer science (harvard),Intermediate,22,https://cs50.harvard.edu/x/,3.7,3988
60,26,video,StatQuest with Josh Starmer,A resource covering statquest with josh starmer,Intermediate,14,https://www.youtube.com/@statquest,4.1,247
61,26,course,Kaggle Learn Free Data Science Courses,A resource covering kaggle learn free data science courses,Intermediate,19,https://www.kaggle.com/learn,5.0,3195
62,26,video,Data School YouTube Channel,A resource covering data school youtube channel,Intermediate,8,https://www.youtube.com/@dataschool,4.5,2763
63,27,course,Kaggle Learn Free Data Science Courses,A resource covering kaggle learn free data science courses,Intermediate,16,https://www.kaggle.com/learn,4.3,3322
64,27,video,Data School YouTube Channel,A resource covering data school youtube channel,Intermediate,12,https://www.youtube.com/@dataschool,4.5,1362
65,27,video,StatQuest with Josh Starmer,A resource covering statquest with josh starmer,Intermediate,14,https://www.youtube.com/@statquest,4.8,3838
66,28,video,StatQuest with Josh Starmer,A resource covering statquest with josh starmer,Advanced,16,https://www.youtube.com/@statquest,4.7,1055
67,28,article,Towards Data Science Medium Publication,A resource covering towards data science medium publication,Advanced,6,https://towardsdatascience.com/,3.8,4385
68,29,course,Kaggle Learn Free Data Science Courses,A resource covering kaggle learn free data science courses,Intermediate,25,https://www.kaggle.com/learn,3.5,230
69,29,article,Towards Data Science Medium Publication,A resource covering towards data science medium publication,Intermediate,4,https://towardsdatascience.com/,4.0,3237
70,30,video,Data School YouTube Channel,A resource covering data school youtube channel,Intermediate,11,https://www.youtube.com/@dataschool,3.9,4858
71,30,book,The Elements of Statistical Learning,A resource covering the elements of statistical learning,Intermediate,52,https://hastie.su.domains/ElemStatLearn/,3.8,4633
72,31,video,StatQuest with Josh Starmer,A resource covering statquest with josh starmer,Beginner,13,https://www.youtube.com/@statquest,4.9,232
73,31,book,The Elements of Statistical Learning,A resource covering the elements of statistical learning,Beginner,57,https://hastie.su.domains/ElemStatLearn/,4.8,697
74,31,book,Hands-On Machine Learning by Aurélien Géron,A resource covering hands-on machine learning by aurélien géron,Beginner,34,https://www.oreilly.com/library/view/hands-on-machine-learning/9781492032632/,4.0,3521
75,32,article,Towards Data Science Medium Publication,A resource covering towards data science medium publication,Advanced,5,https://towardsdatascience.com/,4.5,1121
76,32,course,Kaggle Learn Free Data Science Courses,A resource covering kaggle learn free data science courses,Advanced,24,https://www.kaggle.com/learn,4.1,3792
77,32,book,Python for Data Analysis by Wes McKinney,A resource covering python for data analysis by wes mckinney,Advanced,20,https://www.oreilly.com/library/view/python-for-data/9781491957653/,4.9,1498
78,33,video,StatQuest with Josh Starmer,A resource covering statquest with josh starmer,Intermediate,19,https://www.youtube.com/@statquest,4.2,421
79,33,course,Coursera Data Science Specialization (Johns Hopkins),A resource covering coursera data science specialization (johns hopkins),Intermediate,51,https://www.coursera.org/specializations/jhu-data-science,3.9,2141
80,33,course,Kaggle Learn Free Data Science Courses,A resource covering kaggle learn free data science courses,Intermediate,20,https://www.kaggle.com/learn,3.9,3115
81,34,book,The Elements of Statistical Learning,A resource covering the elements of statistical learning,Beginner,37,https://hastie.su.domains/ElemStatLearn/,4.3,2691
82,34,course,Coursera Data Science Specialization (Johns Hopkins),A resource covering coursera data science specialization (johns hopkins),Beginner,29,https://www.coursera.org/specializations/jhu-data-science,3.9,1743
83,35,video,Data School YouTube Channel,A resource covering data school youtube channel,Advanced,12,https://www.youtube.com/@dataschool,4.4,3734
84,35,book,Hands-On Machine Learning by Aurélien Géron,A resource covering hands-on machine learning by aurélien géron,Advanced,38,https://www.oreilly.com/library/view/hands-on-machine-learning/9781492032632/,4.8,2687
85,35,book,The Elements of Statistical Learning,A resource covering the elements of statistical learning,Advanced,64,https://hastie.su.domains/ElemStatLearn/,4.1,2774
86,36,course,Kaggle Learn Free Data Science Courses,A resource covering kaggle learn free data science courses,Intermediate,21,https://www.kaggle.com/learn,3.8,3115
87,36,book,The Elements of Statistical Learning,A resource covering the elements of statistical learning,Intermediate,46,https://hastie.su.domains/ElemStatLearn/,5.0,2289
88,36,video,Data School YouTube Channel,A resource covering data school youtube channel,Intermediate,12,https://www.youtube.com/@dataschool,4.3,3463
89,37,video,Data School YouTube Channel,A resource covering data school youtube channel,Intermediate,9,https://www.youtube.com/@dataschool,3.6,2076
90,37,course,Coursera Data Science Specialization (Johns Hopkins),A resource covering coursera data science specialization (johns hopkins),Intermediate,36,https://www.coursera.org/specializations/jhu-data-science,3.6,680
91,37,course,Kaggle Learn Free Data Science Courses,A resource covering kaggle learn free data science courses,Intermediate,25,https://www.kaggle.com/learn,3.7,3862
92,38,book,The Elements of Statistical Learning,A resource covering the elements of statistical learning,Beginner,42,https://hastie.su.domains/ElemStatLearn/,4.4,168
93,38,course,Coursera Data Science Specialization (Johns Hopkins),A resource covering coursera data science specialization (johns hopkins),Beginner,35,https://www.coursera.org/specializations/jhu-data-science,4.7,4428
94,39,article,Towards Data Science Medium Publication,A resource covering towards data science medium publication,Advanced,6,https://towardsdatascience.com/,4.1,436
95,39,course,Kaggle Learn Free Data Science Courses,A resource covering kaggle learn free data science courses,Advanced,17,https://www.kaggle.com/learn,3.6,2876
96,40,book,The Elements of Statistical Learning,A resource covering the elements of statistical learning,Advanced,49,https://hastie.su.domains/ElemStatLearn/,4.1,1846
97,40,article,Towards Data Science Medium Publication,A resource covering towards data science medium publication,Advanced,4,https://towardsdatascience.com/,5.0,572
98,41,book,Hands-On Machine Learning by Aurélien Géron,A resource covering hands-on machine learning by aurélien géron,Advanced,27,https://www.oreilly.com/library/view/hands-on-machine-learning/9781492032632/,4.3,339
99,41,book,Python for Data Analysis by Wes McKinney,A resource covering python for data analysis by wes mckinney,Advanced,20,https://www.oreilly.com/library/view/python-for-data/9781491957653/,5.0,264
100,42,book,Python for Data Analysis by Wes McKinney,A resource covering python for data analysis by wes mckinney,Advanced,21,https://www.oreilly.com/library/view/python-for-data/9781491957653/,4.8,2035
101,42,course,Coursera Data Science Specialization (Johns Hopkins),A resource covering coursera data science specialization (johns hopkins),Advanced,51,https://www.coursera.org/specializations/jhu-data-science,3.5,1643
102,43,course,Kaggle Learn Free Data Science Courses,A resource covering kaggle learn free data science courses,Intermediate,17,https://www.kaggle.com/learn,4.6,176
103,43,book,Python for Data Analysis by Wes McKinney,A resource covering python for data analysis by wes mckinney,Intermediate,25,https://www.oreilly.com/library/view/python-for-data/9781491957653/,4.5,1258
104,44,video,Data School YouTube Channel,A resource covering data school youtube channel,Beginner,8,https://www.youtube.com/@dataschool,4.3,1964
105,44,course,Kaggle Learn Free Data Science Courses,A resource covering kaggle learn free data science courses,Beginner,23,https://www.kaggle.com/learn,3.9,1044
106,45,video,StatQuest with Josh Starmer,A resource covering statquest with josh starmer,Intermediate,14,https://www.youtube.com/@statquest,4.5,3889
107,45,article,Towards Data Science Medium Publication,A resource covering towards data science medium publication,Intermediate,5,https://towardsdatascience.com/,3.7,947
108,45,video,Data School YouTube Channel,A resource covering data school youtube channel,Intermediate,9,https://www.youtube.com/@dataschool,4.2,4630
109,46,course,Hugging Face NLP Course (Free),A resource covering hugging face nlp course (free),Intermediate,16,https://huggingface.co/learn/nlp-course/,4.2,1795
110,46,article,Papers With Code Trending Research,A resource covering papers with code trending research,Intermediate,5,https://paperswithcode.com/,4.9,3819
111,47,course,fast.ai Practical Deep Learning for Coders,A resource covering fast.ai practical deep learning for coders,Beginner,30,https://course.fast.ai/,4.8,2109
112,47,book,"Deep Learning by Goodfellow, Bengio & Courville","A resource covering deep learning by goodfellow, bengio & courville",Beginner,53,https://www.deeplearningbook.org/,3.9,3031
113,48,course,Hugging Face NLP Course (Free),A resource covering hugging face nlp course (free),Intermediate,22,https://huggingface.co/learn/nlp-course/,4.3,1384
114,48,video,Stanford CS231n Convolutional Neural Networks,A resource covering stanford cs231n convolutional neural networks,Intermediate,25,https://cs231n.stanford.edu/,3.8,4973
115,48,book,"Deep Learning by Goodfellow, Bengio & Courville","A resource covering deep learning by goodfellow, bengio & courville",Intermediate,58,https://www.deeplearningbook.org/,4.9,4984
116,49,course,Hugging Face NLP Course (Free),A resource covering hugging face nlp course (free),Intermediate,17,https://huggingface.co/learn/nlp-course/,4.8,948
117,49,course,fast.ai Practical Deep Learning for Coders,A resource covering fast.ai practical deep learning for coders,Intermediate,37,https://course.fast.ai/,3.9,1351
118,50,book,Pattern Recognition and Machine Learning by Bishop,A resource covering pattern recognition and machine learning by bishop,Intermediate,68,https://www.springer.com/gp/book/9780387310732,4.5,2558
119,50,course,fast.ai Practical Deep Learning for Coders,A resource covering fast.ai practical deep learning for coders,Intermediate,31,https://course.fast.ai/,4.4,895
120,50,book,"Deep Learning by Goodfellow, Bengio & Courville","A resource covering deep learning by goodfellow, bengio & courville",Intermediate,35,https://www.deeplearningbook.org/,3.7,4750
121,51,course,Hugging Face NLP Course (Free),A resource covering hugging face nlp course (free),Advanced,16,https://huggingface.co/learn/nlp-course/,4.6,220
122,51,video,Stanford CS231n Convolutional Neural Networks,A resource covering stanford cs231n convolutional neural networks,Advanced,17,https://cs231n.stanford.edu/,4.3,2565
123,51,book,"Deep Learning by Goodfellow, Bengio & Courville","A resource covering deep learning by goodfellow, bengio & courville",Advanced,48,https://www.deeplearningbook.org/,4.7,4726
124,52,course,Hugging Face NLP Course (Free),A resource covering hugging face nlp course (free),Advanced,19,https://huggingface.co/learn/nlp-course/,4.3,3084
125,52,article,Papers With Code Trending Research,A resource covering papers with code trending research,Advanced,5,https://paperswithcode.com/,3.5,3259
126,52,course,fast.ai Practical Deep Learning for Coders,A resource covering fast.ai practical deep learning for coders,Advanced,31,https://course.fast.ai/,4.0,1634
127,53,video,3Blue1Brown Neural Networks Series,A resource covering 3blue1brown neural networks series,Advanced,3,https://www.youtube.com/watch?v=aircAruvnKk,3.5,632
128,53,course,Hugging Face NLP Course (Free),A resource covering hugging face nlp course (free),Advanced,24,https://huggingface.co/learn/nlp-course/,4.9,4860
129,53,article,Papers With Code Trending Research,A resource covering papers with code trending research,Advanced,4,https://paperswithcode.com/,4.8,1999
130,54,course,fast.ai Practical Deep Learning for Coders,A resource covering fast.ai practical deep learning for coders,Advanced,30,https://course.fast.ai/,4.7,844
131,54,article,Papers With Code Trending Research,A resource covering papers with code trending research,Advanced,6,https://paperswithcode.com/,4.0,2480
132,55,video,Stanford CS231n Convolutional Neural Networks,A resource covering stanford cs231n convolutional neural networks,Intermediate,26,https://cs231n.stanford.edu/,3.6,4928
133,55,course,DeepLearning.AI Deep Learning Specialization,A resource covering deeplearning.ai deep learning specialization,Intermediate,34,https://www.coursera.org/specializations/deep-learning,4.8,1001
134,56,course,fast.ai Practical Deep Learning for Coders,A resource covering fast.ai practical deep learning for coders,Intermediate,25,https://course.fast.ai/,4.9,4646
135,56,book,"Deep Learning by Goodfellow, Bengio & Courville","A resource covering deep learning by goodfellow, bengio & courville",Intermediate,36,https://www.deeplearningbook.org/,3.6,346
136,56,video,Stanford CS231n Convolutional Neural Networks,A resource covering stanford cs231n convolutional neural networks,Intermediate,26,https://cs231n.stanford.edu/,4.2,2854
137,57,book,"Deep Learning by Goodfellow, Bengio & Courville","A resource covering deep learning by goodfellow, bengio & courville",Advanced,54,https://www.deeplearningbook.org/,3.6,4374
138,57,course,Hugging Face NLP Course (Free),A resource covering hugging face nlp course (free),Advanced,16,https://huggingface.co/learn/nlp-course/,4.6,3519
139,57,course,fast.ai Practical Deep Learning for Coders,A resource covering fast.ai practical deep learning for coders,Advanced,35,https://course.fast.ai/,4.6,3045
140,58,course,DeepLearning.AI Deep Learning Specialization,A resource covering deeplearning.ai deep learning specialization,Advanced,36,https://www.coursera.org/specializations/deep-learning,3.7,574
141,58,book,Pattern Recognition and Machine Learning by Bishop,A resource covering pattern recognition and machine learning by bishop,Advanced,51,https://www.springer.com/gp/book/9780387310732,4.2,4154
142,59,course,fast.ai Practical Deep Learning for Coders,A resource covering fast.ai practical deep learning for coders,Advanced,35,https://course.fast.ai/,4.3,2805
143,59,video,Stanford CS231n Convolutional Neural Networks,A resource covering stanford cs231n convolutional neural networks,Advanced,19,https://cs231n.stanford.edu/,3.9,113
144,60,course,fast.ai Practical Deep Learning for Coders,A resource covering fast.ai practical deep learning for coders,Advanced,31,https://course.fast.ai/,4.8,3451
145,60,book,"Deep Learning by Goodfellow, Bengio & Courville","A resource covering deep learning by goodfellow, bengio & courville",Advanced,52,https://www.deeplearningbook.org/,4.1,4025
146,61,book,Pattern Recognition and Machine Learning by Bishop,A resource covering pattern recognition and machine learning by bishop,Advanced,77,https://www.springer.com/gp/book/9780387310732,3.8,874
147,61,course,fast.ai Practical Deep Learning for Coders,A resource covering fast.ai practical deep learning for coders,Advanced,28,https://course.fast.ai/,4.3,3561
148,61,article,Papers With Code Trending Research,A resource covering papers with code trending research,Advanced,4,https://paperswithcode.com/,4.6,2977
149,62,book,Pattern Recognition and Machine Learning by Bishop,A resource covering pattern recognition and machine learning by bishop,Advanced,76,https://www.springer.com/gp/book/9780387310732,3.8,3776
150,62,video,Stanford CS231n Convolutional Neural Networks,A resource covering stanford cs231n convolutional neural networks,Advanced,25,https://cs231n.stanford.edu/,4.0,1263
151,63,article,Papers With Code Trending Research,A resource covering papers with code trending research,Intermediate,5,https://paperswithcode.com/,5.0,3577
152,63,course,DeepLearning.AI Deep Learning Specialization,A resource covering deeplearning.ai deep learning specialization,Intermediate,41,https://www.coursera.org/specializations/deep-learning,4.5,1452
153,63,book,Pattern Recognition and Machine Learning by Bishop,A resource covering pattern recognition and machine learning by bishop,Intermediate,67,https://www.springer.com/gp/book/9780387310732,4.2,4284
154,64,article,Papers With Code Trending Research,A resource covering papers with code trending research,Intermediate,4,https://paperswithcode.com/,4.3,2222
