user_id,resource_id,rating,completed,feedback_text,feedback_id,content_id,content_type,comments
1,365.0,2,False,"Great instructor, easy to follow.",,,,
1,364.0,2,True,Good but could use more examples.,,,,
2,122.0,4,True,Perfect for my level.,,,,
2,405.0,5,False,Not enough practice problems.,,,,
3,67.0,4,False,"Great instructor, easy to follow.",,,,
3,314.0,4,False,Loved the hands-on projects.,,,,
3,45.0,1,True,Perfect for my level.,,,,
3,34.0,1,False,Not enough practice problems.,,,,
3,159.0,5,False,"Excellent content, highly recommend.",,,,
4,328.0,4,True,Too fast-paced for beginners.,,,,
4,301.0,5,True,"Outdated content, needs updating.",,,,
4,94.0,2,True,Perfect for my level.,,,,
4,394.0,2,False,"Great instructor, easy to follow.",,,,
4,67.0,3,True,"Outdated content, needs updating.",,,,
5,326.0,3,True,"Outdated content, needs updating.",,,,
5,283.0,5,True,"Great instructor, easy to follow.",,,,
6,87.0,5,False,Loved the hands-on projects.,,,,
6,304.0,1,True,Too fast-paced for beginners.,,,,
6,298.0,1,False,Good but could use more examples.,,,,
6,79.0,5,False,Loved the hands-on projects.,,,,
6,88.0,1,False,"Great instructor, easy to follow.",,,,
6,338.0,3,False,Not enough practice problems.,,,,
7,413.0,4,False,Not enough practice problems.,,,,
7,414.0,1,True,"Excellent content, highly recommend.",,,,
8,213.0,3,True,Perfect for my level.,,,,
8,248.0,3,False,Challenging but rewarding.,,,,
8,238.0,2,False,"Great instructor, easy to follow.",,,,
8,105.0,5,True,Perfect for my level.,,,,
9,239.0,3,False,Good but could use more examples.,,,,
9,63.0,2,True,"Very clear explanation, helped me understand the concept.",,,,
10,197.0,4,True,"Excellent content, highly recommend.",,,,
10,443.0,3,False,Good but could use more examples.,,,,
10,316.0,2,False,"Great instructor, easy to follow.",,,,
11,256.0,1,False,"Great instructor, easy to follow.",,,,
11,158.0,4,True,Good but could use more examples.,,,,
11,255.0,5,False,"Very clear explanation, helped me understand the concept.",,,,
11,12.0,1,False,Not enough practice problems.,,,,
12,432.0,5,True,Too fast-paced for beginners.,,,,
12,335.0,4,True,"Outdated content, needs updating.",,,,
12,345.0,3,False,Perfect for my level.,,,,
12,241.0,1,False,"Very clear explanation, helped me understand the concept.",,,,
12,147.0,5,True,Perfect for my level.,,,,
13,148.0,5,False,Loved the hands-on projects.,,,,
13,38.0,5,True,"Excellent content, highly recommend.",,,,
13,198.0,1,False,Perfect for my level.,,,,
13,259.0,3,False,"Excellent content, highly recommend.",,,,
13,231.0,2,False,"Great instructor, easy to follow.",,,,
14,24.0,1,True,Perfect for my level.,,,,
15,266.0,5,True,Perfect for my level.,,,,
15,234.0,5,False,"Excellent content, highly recommend.",,,,
15,77.0,4,False,Loved the hands-on projects.,,,,
15,311.0,3,False,Loved the hands-on projects.,,,,
16,244.0,3,False,Too fast-paced for beginners.,,,,
16,418.0,4,False,"Very clear explanation, helped me understand the concept.",,,,
16,9.0,5,False,"Outdated content, needs updating.",,,,
17,401.0,1,False,"Excellent content, highly recommend.",,,,
17,398.0,5,False,"Excellent content, highly recommend.",,,,
17,297.0,2,True,Loved the hands-on projects.,,,,
17,296.0,1,True,"Very clear explanation, helped me understand the concept.",,,,
17,117.0,4,False,Challenging but rewarding.,,,,
17,370.0,2,False,Good but could use more examples.,,,,
18,257.0,1,True,"Great instructor, easy to follow.",,,,
18,397.0,2,False,Not enough practice problems.,,,,
18,314.0,5,False,Perfect for my level.,,,,
18,242.0,2,False,"Great instructor, easy to follow.",,,,
19,280.0,3,False,Good but could use more examples.,,,,
19,182.0,2,False,"Great instructor, easy to follow.",,,,
19,347.0,3,True,"Outdated content, needs updating.",,,,
20,361.0,4,False,Not enough practice problems.,,,,
20,107.0,3,False,"Outdated content, needs updating.",,,,
20,354.0,1,False,Challenging but rewarding.,,,,
21,396.0,3,True,"Outdated content, needs updating.",,,,
21,412.0,1,False,Not enough practice problems.,,,,
21,75.0,3,False,Good but could use more examples.,,,,
22,424.0,3,False,"Excellent content, highly recommend.",,,,
22,276.0,1,True,Good but could use more examples.,,,,
23,343.0,5,True,Good but could use more examples.,,,,
24,52.0,4,False,Not enough practice problems.,,,,
25,349.0,2,True,"Great instructor, easy to follow.",,,,
26,209.0,4,False,Good but could use more examples.,,,,
26,335.0,3,False,"Outdated content, needs updating.",,,,
27,31.0,5,True,"Excellent content, highly recommend.",,,,
27,394.0,4,True,"Very clear explanation, helped me understand the concept.",,,,
27,46.0,4,False,"Excellent content, highly recommend.",,,,
27,334.0,3,True,"Very clear explanation, helped me understand the concept.",,,,
27,294.0,3,True,Perfect for my level.,,,,
27,119.0,3,False,"Great instructor, easy to follow.",,,,
28,253.0,3,True,Too fast-paced for beginners.,,,,
28,69.0,3,True,Not enough practice problems.,,,,
28,436.0,3,True,"Very clear explanation, helped me understand the concept.",,,,
28,259.0,3,False,Loved the hands-on projects.,,,,
28,240.0,2,True,Loved the hands-on projects.,,,,
29,208.0,4,True,"Excellent content, highly recommend.",,,,
29,424.0,2,False,Perfect for my level.,,,,
29,219.0,2,True,"Outdated content, needs updating.",,,,
29,264.0,4,True,Not enough practice problems.,,,,
29,168.0,3,False,"Outdated content, needs updating.",,,,
29,45.0,5,True,"Outdated content, needs updating.",,,,
30,185.0,4,False,"Excellent content, highly recommend.",,,,
30,355.0,4,False,Too fast-paced for beginners.,,,,
30,121.0,3,False,Loved the hands-on projects.,,,,
30,32.0,2,True,"Excellent content, highly recommend.",,,,
30,342.0,4,True,Not enough practice problems.,,,,
30,61.0,5,False,Challenging but rewarding.,,,,
31,282.0,2,True,Loved the hands-on projects.,,,,
31,242.0,1,False,"Great instructor, easy to follow.",,,,
31,388.0,3,True,Loved the hands-on projects.,,,,
31,276.0,1,True,"Great instructor, easy to follow.",,,,
31,411.0,5,True,Loved the hands-on projects.,,,,
31,341.0,5,True,"Excellent content, highly recommend.",,,,
32,438.0,1,True,Loved the hands-on projects.,,,,
32,267.0,4,True,"Great instructor, easy to follow.",,,,
32,227.0,4,True,Not enough practice problems.,,,,
33,263.0,4,True,"Great instructor, easy to follow.",,,,
33,213.0,4,False,"Very clear explanation, helped me understand the concept.",,,,
34,131.0,2,True,"Very clear explanation, helped me understand the concept.",,,,
34,419.0,4,False,Too fast-paced for beginners.,,,,
34,2.0,5,True,Too fast-paced for beginners.,,,,
34,382.0,4,True,"Outdated content, needs updating.",,,,
35,93.0,4,False,Challenging but rewarding.,,,,
35,394.0,4,False,Challenging but rewarding.,,,,
35,70.0,1,True,Perfect for my level.,,,,
35,393.0,1,True,"Great instructor, easy to follow.",,,,
36,271.0,1,True,"Outdated content, needs updating.",,,,
36,66.0,4,False,"Great instructor, easy to follow.",,,,
36,373.0,4,True,Good but could use more examples.,,,,
36,115.0,4,False,"Excellent content, highly recommend.",,,,
37,97.0,1,True,Challenging but rewarding.,,,,
37,372.0,5,True,Good but could use more examples.,,,,
37,392.0,2,True,Too fast-paced for beginners.,,,,
38,18.0,1,True,"Very clear explanation, helped me understand the concept.",,,,
38,229.0,4,False,Good but could use more examples.,,,,
38,307.0,5,True,"Very clear explanation, helped me understand the concept.",,,,
38,345.0,2,False,Good but could use more examples.,,,,
38,361.0,5,False,Loved the hands-on projects.,,,,
39,396.0,3,True,"Great instructor, easy to follow.",,,,
39,345.0,2,False,"Outdated content, needs updating.",,,,
39,420.0,3,True,"Great instructor, easy to follow.",,,,
39,165.0,5,True,Challenging but rewarding.,,,,
39,122.0,5,False,"Very clear explanation, helped me understand the concept.",,,,
40,330.0,5,False,Challenging but rewarding.,,,,
40,344.0,4,True,"Outdated content, needs updating.",,,,
40,196.0,4,True,"Great instructor, easy to follow.",,,,
41,124.0,2,False,"Very clear explanation, helped me understand the concept.",,,,
41,435.0,5,False,Challenging but rewarding.,,,,
41,116.0,5,True,Challenging but rewarding.,,,,
41,154.0,2,False,Good but could use more examples.,,,,
42,332.0,3,True,"Great instructor, easy to follow.",,,,
42,41.0,2,True,"Outdated content, needs updating.",,,,
42,231.0,4,True,Too fast-paced for beginners.,,,,
43,412.0,5,True,Not enough practice problems.,,,,
43,390.0,2,False,"Outdated content, needs updating.",,,,
44,109.0,2,True,Not enough practice problems.,,,,
45,357.0,2,False,Good but could use more examples.,,,,
45,310.0,5,False,"Outdated content, needs updating.",,,,
46,239.0,3,False,Perfect for my level.,,,,
46,274.0,5,False,Not enough practice problems.,,,,
46,333.0,1,False,Perfect for my level.,,,,
46,184.0,2,False,Perfect for my level.,,,,
47,24.0,2,True,"Outdated content, needs updating.",,,,
47,289.0,5,False,"Outdated content, needs updating.",,,,
47,443.0,2,True,Perfect for my level.,,,,
47,114.0,2,False,Loved the hands-on projects.,,,,
48,256.0,3,False,Not enough practice problems.,,,,
48,282.0,4,False,"Excellent content, highly recommend.",,,,
49,408.0,4,True,"Great instructor, easy to follow.",,,,
49,181.0,1,True,Too fast-paced for beginners.,,,,
49,87.0,1,True,Challenging but rewarding.,,,,
49,72.0,2,True,Too fast-paced for beginners.,,,,
49,369.0,2,True,Good but could use more examples.,,,,
49,280.0,5,False,Perfect for my level.,,,,
50,317.0,5,False,Not enough practice problems.,,,,
159d7d73-6177-48ee-ab4d-7af46a6d511f,,5,,,2e23b243-cacb-4956-9320-2bad5c47679d,resource-105,resource,The interactive UX design prototype feature was exactly what I was looking for!
159d7d73-6177-48ee-ab4d-7af46a6d511f,,5,,,c7adb069-a7b9-45f9-be2c-205c6f95f560,resource-105,resource,The interactive UX design prototype feature was exactly what I was looking for!
8a8213a3-b2f9-4a0d-a2ed-85bde1b3636d,,5,,,a3bea546-a5c1-4ee7-be81-94ad13e01093,http://vision.stanford.edu/teaching/cs231n/,course,Very good!
f4b24848-6711-4457-a628-d16ed7bf4a7f,,5,,,6b97f9b5-2ee4-41c2-98a8-ee03ca9f6920,https://docs.python.org/3/,official documentation,Excellent resource for beginners!
f4b24848-6711-4457-a628-d16ed7bf4a7f,,5,,,1ac3f07d-ba51-4550-87bd-0a1a9a52e3e9,https://flask.palletsprojects.com/en/2.0.x/tutorial/,official documentation,This tutorial is very helpful for learning Flask as a beginner!
8a8213a3-b2f9-4a0d-a2ed-85bde1b3636d,,4,,,e6babc21-5c1b-4255-9736-2271c606e390,https://www.datacamp.com/tracks/data-science-with-python,course,
8a8213a3-b2f9-4a0d-a2ed-85bde1b3636d,,5,,,2b0a7d01-50d9-4f78-8866-dec89713b6ac,20,roadmap,
8a8213a3-b2f9-4a0d-a2ed-85bde1b3636d,,5,,,0ab04a09-33a5-4263-a86d-08be85a96623,https://see.stanford.edu/Course/CS231a/lecture1/,course,
f4b24848-6711-4457-a628-d16ed7bf4a7f,,5,,,0d083f1d-9562-4698-ab43-a92219bde676,https://flask.palletsprojects.com/en/2.0.x/tutorial/,official documentation,Great tutorial!
